id;name;week_day;time_begin;time_end;owner;user_id
1;mobile Fish;Home Loan Account Table Computer;2020-01-05T05:15:04;2020-01-04T19:37:23;seamless Metal deposit;5641
2;transmitter Implementation Electronics;Soap methodology Albania;2020-01-04T20:16:42;2020-01-05T06:05:30;Namibia;39986
3;Gorgeous Frozen Pants;Common;2020-01-04T11:48:04;2020-01-04T15:48:14;syndicate;98323
4;Canyon HDD;Table Small Frozen Sausages Planner;2020-01-04T11:14:37;2020-01-04T21:23:42;Music;23089
5;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2020-01-04T14:44:41;2020-01-04T12:31:00;convergence;20794
6;Georgia Industrial;connect Markets Chief;2020-01-04T16:17:44;2020-01-04T13:11:27;archive Georgia Aruba;96117
7;navigating;interactive generating compelling;2020-01-04T23:54:10;2020-01-04T16:04:35;bifurcated scalable;16526
8;Industrial;index orange;2020-01-05T06:30:45;2020-01-05T06:18:26;magenta monitor 1080p;60595
9;Identity;Frozen IB;2020-01-04T15:41:10;2020-01-04T19:51:30;Ergonomic;37081
10;Lempira;pixel withdrawal;2020-01-04T09:21:08;2020-01-04T17:10:31;embrace Developer;84891
