id;version;power_time;place_time;wait_time;run_time;stop_time;idle_time;in_wait_time;out_wait_time;trans_time;wrong_stop_time;error_stop_t_ime;wrong_stop_count;error_stop_count;panel_in_count;panel_out_count;panel_count;p_cb_count;error_pcb;skip_pcb;operation_rate;placement_rate;mean_time;real_time;transfer_time;place_count;the_efficiency
1;mobile Fish;77969;59865;59685;15601;44583;15599;9997;5808;45924;86617;33370;60111;14286;70807;65088;2058;5641;96990;72199;83244;93855;21233;77;18182;99221;18340
2;methodology Albania;43194;2306;29122;52477;61185;39986;13949;4666;29214;97375;36636;23277;45606;9060;78517;61838;19967;38246;51423;98323;59241;46676;4645;85994;60754;68030
3;Centers;1326;94888;94220;96563;56328;80839;38541;30461;1596;9767;23089;68423;24102;44015;68326;12203;60999;49517;83319;3438;17336;90932;39106;25877;18223;66252
4;hardware Costa Rica Mayotte;18485;3131;96958;84228;77513;44975;93949;39515;89482;92665;59789;72727;92187;32654;8849;57044;19598;52083;4522;96117;32533;84453;38867;74732;27134;53969
5;Louisiana Specialist Home Loan Account;27599;14092;29627;80219;16526;7455;1563;98688;42340;77224;39488;19871;29348;552;1407;81546;19884;70685;71134;72900;79017;77127;60595;7404;92630;35846
6;Frozen IB;62329;44945;33089;9541;6355;37081;31098;66884;32518;66592;72960;59129;63755;27472;88721;56124;47221;38292;11959;97171;71324;84891;76078;72172;56127;23598
7;Networked Sleek Metal Table Small;43933;10789;20171;3142;89576;63641;47537;31435;56327;50857;69551;90756;13933;24929;60441;41038;53984;75555;20306;22879;94285;7697;59886;28975;69478;16122
8;Web virtual deposit;87146;45653;80367;21844;18657;41650;89255;88328;53934;32434;80744;12208;89609;35629;31800;90682;11005;27213;22793;64769;42710;52;81801;35256;86073;30478
9;Hat;53408;41741;48482;22210;69243;11986;26941;33761;24412;94290;16829;32320;21876;51879;55810;70301;40383;36362;6489;97178;25391;96244;24687;25178;69630;49724
10;capability zero tolerance Computers;60956;97661;50267;41103;5147;3305;27864;34507;90826;63435;23956;68070;14489;53093;48945;44778;98565;55289;24205;59269;67213;8085;76161;36965;23763;24215
