id;name;code;dict_flag;dict_type_id;value;remark;create_time;create_user;update_time;update_user
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;Metal deposit;Producer;2020-02-02T11:38:31;93855;2020-02-03T02:31:27;77
2;Officer;methodology Albania;Home Namibia;39986;Gorgeous Frozen Pants;Common;2020-02-02T12:46:35;61838;2020-02-03T02:49:42;38246
3;Planner Canyon;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;23089;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2020-02-02T15:43:12;75536;2020-02-03T00:08:22;42515
4;sky blue Georgia;Facilitator;Views e-enable Communications;72727;archive Georgia Aruba;software scale interactive;2020-02-02T11:43:51;58675;2020-02-02T23:03:30;96525
5;Home Loan Account;Plastic;Car Industrial deliverables;39488;24 hour;overriding;2020-02-02T14:39:21;71134;2020-02-02T14:07:28;79017
6;Checking Account Identity deposit;IB Investment Account archive;envisioneer;66884;payment;withdrawal COM;2020-02-02T20:17:14;38292;2020-02-03T04:45:00;97171
7;synthesizing hard drive Robust;Avon;system Small;43933;red;withdrawal knowledge base Buckinghamshire;2020-02-02T09:50:20;13933;2020-02-03T01:38:15;60441
8;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;45653;mint green e-business EXE;back-end;2020-02-02T10:06:52;35629;2020-02-02T23:59:18;90682
9;contextually-based;synergies copying;ability Hat Iraq;48482;Bahamian Dollar;24/7;2020-02-02T08:59:27;16829;2020-02-02T23:51:49;21876
10;Oklahoma facilitate;Engineer;Exclusive Moroccan Dirham card;14808;Supervisor;Personal Loan Account;2020-02-02T19:33:22;41103;2020-02-03T06:23:06;3305
