id;parent_id;parent_ids;simple_name;full_name;description;version;status;sort;create_time;create_user;update_time;update_user
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;61748;2020-02-03T07:53:44;61165;2020-02-03T02:36:12;706
2;43194;intangible;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;94220;2020-02-02T16:01:21;56328;2020-02-02T19:47:46;38541
3;30461;Intelligent;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;84228;2020-02-02T20:35:40;44975;2020-02-02T16:38:59;39515
4;89482;Credit Card Account National Awesome;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;39488;2020-02-03T10:25:42;29348;2020-02-03T15:03:53;1407
5;81546;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;38292;2020-02-03T12:19:38;97171;2020-02-02T22:04:47;84891
6;76078;Idaho compress Avon;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;69478;2020-02-03T11:19:41;88046;2020-02-02T16:53:05;62435
7;80812;deposit;Squares mint green e-business;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;30478;2020-02-03T15:01:50;16465;2020-02-03T02:56:22;53408
8;41741;magenta Concrete;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661;2020-02-03T03:07:59;41103;2020-02-03T13:57:43;3305
9;27864;Investor Public-key;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;15071;2020-02-03T07:29:55;50819;2020-02-03T10:43:15;69581
10;4077;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;2020-02-03T01:52:22;51663;2020-02-03T02:29:09;26082
