id;dic_type_id;code;name;parent_id;parent_ids;status;sort;description;create_time;create_user;update_time;update_user
1;37454;Directives application Home Loan Account;Dam;9997;Trace;Savings Account alarm;2058;Producer;2020-02-02T18:31:08;93855;2020-02-03T09:24:04;77
2;18182;Soap methodology Albania;Home Namibia;39986;Gorgeous Frozen Pants;Common;78517;grey Cambridgeshire;2020-02-03T00:16:46;46676;2020-02-03T13:22:57;85994
3;60754;Table Small Frozen Sausages Planner;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;Games Regional Digitized;66252;hardware Costa Rica Mayotte;2020-02-03T10:03:39;3131;2020-02-02T15:13:39;84228
4;77513;Markets Chief;capacitor archive;57044;Aruba;software scale interactive;82873;compelling mission-critical;2020-02-03T01:28:21;27599;2020-02-03T11:06:54;29627
5;80219;Small;deliverables reinvent 24 hour;1407;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;86310;Investment Account archive Fantastic Plastic Chicken;2020-02-03T06:41:34;66592;2020-02-02T20:59:13;59129
6;63755;COM;embrace Developer;84891;hard drive Robust Networked;Poland;42754;Grocery;2020-02-03T11:54:28;20171;2020-02-03T13:44:34;89576
7;63641;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;Brand;neutral Salad;92969;virtual deposit;2020-02-02T17:34:57;45653;2020-02-02T19:12:33;21844
8;18657;Human Ghana;Fresh granular Direct;27213;withdrawal;copying;86073;Games;2020-02-03T02:14:22;53408;2020-02-03T04:28:46;48482
9;22210;Concrete 24/7 Directives;sky blue;55810;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;Personal Loan Account;2020-02-03T02:25:59;41103;2020-02-03T13:15:42;3305
10;27864;Investor Public-key;Lebanon;44778;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;36778;invoice withdrawal;2020-02-03T01:38:19;81643;2020-02-03T12:19:49;79834
