id;code;name;system_flag;status;sort;description;create_time;create_user;update_time;update_user
1;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;69093;synthesize Creative;2020-02-03T11:11:48;67569;2020-02-03T06:18:42;73521
2;azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;9310;Customer Human deposit;2020-02-03T06:21:38;27887;2020-02-03T06:06:59;70035
3;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;54873;Cayman Islands Dollar invoice;2020-02-03T09:06:53;17592;2020-02-02T21:24:18;1807
4;Bedfordshire;navigate;program alarm;Nevada;9367;turn-key dedicated;2020-02-03T08:38:30;58987;2020-02-02T15:08:43;97889
5;Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;28077;Shoes deposit;2020-02-03T10:14:48;99455;2020-02-02T15:55:35;46994
6;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;31692;Pants Maryland;2020-02-02T16:01:47;84421;2020-02-02T21:47:34;93001
7;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;81011;HDD;2020-02-02T16:34:47;8159;2020-02-03T02:13:31;518
8;Auto Loan Account olive;Yen;Unbranded Fresh Pants Tools California;North Dakota Garden;46559;Wallis and Futuna;2020-02-03T07:37:13;83893;2020-02-03T00:19:03;86040
9;Assimilated;compressing;Brunei Darussalam interface;compress lavender Investment Account;8534;Intelligent Granite Shirt Peru deposit;2020-02-02T21:04:16;13274;2020-02-02T15:04:37;96953
10;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;69597;paradigms Salad Table;2020-02-03T08:29:29;23978;2020-02-03T01:18:57;9387
